"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
6.066738727E1,6.499070324E1,2.548378351E1,5.067631381E0,2.253704834E1,1.090000033E0,2.501999969E2,3.885542780E-1,3.790092468E0,2.908120871E0,3.200000000E1
6.166695029E1,6.499069860E1,2.548376288E1,5.543883368E0,2.301330566E1,1.080000043E0,2.445000000E2,3.887200377E-1,3.790092468E0,3.006525993E0,3.200000000E1
6.266719607E1,6.499069723E1,2.548376149E1,5.644529021E0,2.311395264E1,0.000000000E0,NaN,3.887685992E-1,3.790092468E0,3.072501659E0,3.200000000E1
6.366736201E1,6.499069749E1,2.548376232E1,5.676755865E0,2.314617920E1,0.000000000E0,NaN,3.888573620E-1,3.790092468E0,3.206289291E0,3.400000000E1
6.466688477E1,6.499069780E1,2.548376406E1,5.676328995E0,2.314575195E1,0.000000000E0,NaN,3.888781482E-1,3.790092468E0,3.297871351E0,3.400000000E1
6.566708472E1,6.499069787E1,2.548376447E1,5.679808085E0,2.314923096E1,0.000000000E0,NaN,3.891576297E-1,3.790092468E0,3.425909519E0,3.200000000E1
6.666725430E1,6.499069538E1,2.548376366E1,5.770992303E0,2.324041748E1,2.599999905E-1,2.572999878E2,3.897971576E-1,3.790092468E0,3.293058157E0,3.200000000E1
6.766726029E1,6.499069254E1,2.548375183E1,5.873467107E0,2.334289551E1,4.099999964E-1,2.548000031E2,3.908230985E-1,3.790092468E0,3.154367685E0,3.400000000E1
6.866775315E1,6.499068941E1,2.548373130E1,5.793873303E0,2.326330566E1,8.799999952E-1,2.592999878E2,3.921862975E-1,3.790092468E0,3.003267050E0,3.700000000E1
6.966745987E1,6.499068581E1,2.548370358E1,6.367293818E0,2.383673096E1,9.700000286E-1,2.558999939E2,3.936277545E-1,3.790092468E0,2.879994631E0,3.700000000E1
7.066725195E1,6.499068257E1,2.548367389E1,6.468424514E0,2.393786621E1,1.220000029E0,2.577999878E2,3.951530371E-1,3.790092468E0,2.936331511E0,3.800000000E1
7.166725419E1,6.499068157E1,2.548364153E1,5.941932587E0,2.341137695E1,1.070000052E0,2.628999939E2,3.964515170E-1,3.790092468E0,2.959926605E0,3.800000000E1
7.266709581E1,6.499068144E1,2.548361391E1,4.913488584E0,2.238293457E1,1.139999986E0,2.642999878E2,3.977183317E-1,3.790092468E0,3.115305424E0,3.900000000E1
7.366769117E1,6.499067815E1,2.548358811E1,4.937165833E0,2.240661621E1,1.200000048E0,2.505000000E2,3.988717861E-1,3.790092468E0,3.187820673E0,3.800000000E1
7.466694487E1,6.499067495E1,2.548356477E1,5.130521032E0,2.259997559E1,1.139999986E0,2.471999969E2,4.000018606E-1,3.790092468E0,3.298196077E0,3.700000000E1
7.566710810E1,6.499067178E1,2.548354193E1,5.220604801E0,2.269006348E1,1.129999995E0,2.523999939E2,4.012249884E-1,3.790092468E0,3.474220991E0,3.700000000E1
7.666738815E1,6.499066840E1,2.548351717E1,4.986713666E0,2.245617676E1,1.149999976E0,2.526000061E2,4.022668044E-1,3.790092468E0,3.421222925E0,3.700000000E1
7.766780158E1,6.499066483E1,2.548349668E1,5.230972005E0,2.270043945E1,1.190000057E0,2.490000000E2,4.032643889E-1,3.790092468E0,3.180063963E0,3.700000000E1
7.866689804E1,6.499066100E1,2.548347749E1,5.093516311E0,2.256298828E1,1.289999962E0,2.612000122E2,4.042810628E-1,3.790092468E0,2.893624306E0,3.500000000E1
