"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.467266625E0,-5.525773743E-1,-3.601449809E0,-1.589674918E0
1.477245625E0,-6.260692737E-1,-3.311159526E0,-1.690058747E0
1.487224625E0,-4.803867728E-1,-3.040540445E0,-1.847420184E0
1.497204625E0,-3.620467293E-1,-2.776557369E0,-2.293891937E0
1.507183625E0,-3.365110615E-1,-2.506866826E0,-2.775006688E0
1.517163625E0,-2.142218086E-1,-2.322812850E0,-3.079874665E0
1.527142625E0,6.279383361E-2,-2.214731162E0,-3.185202314E0
1.537121625E0,3.339305390E-1,-2.088733020E0,-3.161429290E0
1.547101625E0,4.961847800E-1,-1.855839005E0,-2.919729953E0
1.557080625E0,5.055109428E-1,-1.512425013E0,-2.388585840E0
1.567059625E0,3.970085473E-1,-1.174205688E0,-1.858108310E0
1.577039625E0,1.265210290E-1,-9.224561566E-1,-1.534901710E0
1.587018625E0,-1.059951825E-1,-5.136287785E-1,-1.314506704E0
1.596998625E0,-2.481909156E-1,6.545314729E-2,-1.033399472E0
1.606977625E0,-4.262224793E-1,9.051057136E-1,-8.369412124E-1
1.616956625E0,-3.000457051E-1,9.277291757E-1,-8.340790004E-1
1.626936625E0,-9.891076908E-2,1.381139234E0,-8.935943002E-1
1.636915625E0,4.850660071E-2,1.824041262E0,-7.185538065E-1
1.646895625E0,8.108765177E-2,1.883291098E0,-2.952031142E-1
1.656874625E0,3.992646955E-2,1.660520368E0,2.470846224E-1
1.666853625E0,-1.163182955E-2,1.321263746E0,8.866688579E-1
1.676834625E0,-1.432246969E-1,1.129337078E0,1.610286938E0
1.686813625E0,-2.932925364E-1,1.049695662E0,2.430175331E0
1.696793625E0,-5.274756429E-1,8.439409143E-1,3.310712214E0
1.706772625E0,-8.014862549E-1,4.633041322E-1,4.173093492E0
1.716751625E0,-8.811036973E-1,2.057898313E-1,4.767424371E0
1.726731625E0,-5.738742493E-1,3.840860546E-1,4.913115935E0
1.736710625E0,-2.970928246E-2,1.053655981E0,4.606551681E0
1.746689625E0,-1.543014430E-2,1.731896160E0,3.548261197E0
1.756669625E0,-6.294098610E-1,2.180089332E0,1.798256795E0
1.766648625E0,-7.442099270E-1,2.531099442E0,6.684548628E-1
1.776628625E0,-3.885736464E-1,3.172603903E0,2.207037395E-1
1.786607625E0,-5.399251691E-1,3.412363134E0,1.606288612E-2
1.796586625E0,-1.247715275E0,2.865671275E0,4.491287273E-1
1.806566625E0,-1.622121995E0,2.056473931E0,1.480229074E0
1.816545625E0,-1.712274658E0,1.280173607E0,2.428160380E0
1.826525625E0,-1.807370411E0,6.010440677E-1,2.965240002E0
1.836504625E0,-1.725760530E0,8.991614342E-2,2.972554284E0
1.846483625E0,-1.545405064E0,-4.096378022E-1,2.424954937E0
1.856463625E0,-1.333900602E0,-9.000817859E-1,1.588753397E0
1.866442625E0,-1.093760864E0,-1.250286734E0,9.115049064E-1
1.876422625E0,-9.542498070E-1,-1.449976165E0,3.806952542E-1
1.886401625E0,-8.651769783E-1,-1.710604109E0,9.869222939E-2
1.896381625E0,-8.722304745E-1,-2.079301461E0,5.148239493E-2
1.906360625E0,-9.242733251E-1,-2.432445220E0,-4.326705694E-2
1.916339625E0,-9.572238471E-1,-2.596940845E0,-2.212650722E-1
1.926319625E0,-9.350865810E-1,-2.625053673E0,-4.023855007E-1
1.936298625E0,-8.486644413E-1,-2.437175032E0,-6.053341699E-1
1.946278625E0,-7.050191103E-1,-2.093444121E0,-9.007986546E-1
1.956257625E0,-6.397089274E-1,-1.796601448E0,-1.186974837E0
1.966236625E0,-6.230861704E-1,-1.664027528E0,-1.554232605E0
1.976216625E0,-5.045780195E-1,-1.955477314E0,-2.147235582E0
1.986195625E0,-3.482848687E-1,-1.358343279E0,-2.343172855E0
1.996175625E0,-3.692333959E-1,-1.243557174E0,-2.874621608E0
2.006154625E0,-1.359167737E-1,-1.529272596E0,-3.329580009E0
2.016133625E0,7.155164704E-2,-1.622692975E0,-3.307279898E0
2.026113625E0,1.403306906E-1,-1.594110031E0,-3.340982080E0
2.036092625E0,2.343552339E-1,-1.521952466E0,-3.377772760E0
2.046072625E0,2.564049380E-1,-1.242863109E0,-3.336178007E0
2.056051625E0,1.906084129E-1,-7.676142848E-1,-3.193677269E0
2.066030625E0,6.048594673E-2,-3.208419853E-1,-3.040890693E0
2.076010625E0,-6.900036067E-2,-1.483327514E-1,-2.698908684E0
2.085989625E0,-1.796336277E-1,-2.732754707E-2,-2.271184859E0
2.095969625E0,-3.668708284E-1,2.758459067E-1,-1.898768093E0
2.105948625E0,-5.170803899E-1,5.312259740E-1,-1.582750645E0
2.115928625E0,-4.778976130E-1,9.218030226E-1,-1.193971031E0
2.125907625E0,-4.729862443E-1,1.415688093E0,-9.050238526E-1
2.135886625E0,-4.107873648E-1,1.687580697E0,-6.194306374E-1
2.145866625E0,-3.920749591E-1,1.617219982E0,-2.558782500E-1
2.155845625E0,-3.705538434E-1,1.372595868E0,2.486890984E-1
2.165825625E0,-2.481920668E-1,1.077173483E0,9.002168566E-1
2.175804625E0,-3.066996172E-2,1.084466715E0,1.385926934E0
2.185783625E0,2.248161046E-1,1.396685227E0,1.817158504E0
2.195763625E0,1.771168399E-1,1.835828664E0,2.072489455E0
2.205742625E0,7.938311532E-2,2.341157320E0,2.257675452E0
2.215722625E0,1.308343738E-1,2.761959211E0,2.377519984E0
2.225701625E0,2.323231803E-1,3.085817190E0,2.891990177E0
2.235681625E0,3.625595301E-1,3.237182307E0,3.163029088E0
2.245660625E0,2.000461479E-1,3.142121199E0,3.015792105E0
2.255639625E0,-2.876563322E-2,2.626586813E0,3.181029741E0
2.265619625E0,3.568146408E-2,2.048628722E0,3.283383497E0
2.275598625E0,2.582856949E-1,1.685835888E0,3.367233154E0
2.285578625E0,3.326362579E-1,1.359229133E0,3.198404742E0
2.295557625E0,3.825299643E-1,1.051472046E0,2.876344197E0
2.305537625E0,3.738638060E-1,8.560563451E-1,2.701853927E0
2.315516625E0,4.454079978E-1,8.349174911E-1,2.660023531E0
2.325495625E0,6.440718274E-1,7.519823384E-1,2.523762356E0
2.335475625E0,8.228890376E-1,5.479203594E-1,2.216353764E0
2.345454625E0,9.374079256E-1,1.357472044E-1,1.826895288E0
2.355434625E0,1.018270971E0,-3.263091320E-1,1.446147993E0
2.365413625E0,1.059208644E0,-7.379221237E-1,1.096857550E0
2.375393625E0,1.127501637E0,-1.059934137E0,7.743678188E-1
2.385372625E0,1.191630829E0,-1.305452875E0,4.117246735E-1
2.395351625E0,1.098361600E0,-1.513405007E0,1.411979789E-1
2.405331625E0,8.204161039E-1,-1.687050939E0,-1.048288822E-2
2.415310625E0,5.238842100E-1,-1.835686576E0,-2.074551183E-1
2.425290625E0,3.406448968E-1,-1.911279965E0,-5.307155120E-1
2.435269625E0,2.095204280E-1,-1.929548421E0,-9.925695348E-1
2.445248625E0,1.242462337E-1,-1.873729146E0,-1.445987779E0
2.455228625E0,8.091033496E-2,-1.825004298E0,-1.920164225E0
2.465207625E0,6.931499569E-2,-1.910205832E0,-2.389212661E0
2.475187625E0,1.055816930E-1,-2.010935231E0,-2.784883220E0
2.485166625E0,1.321079705E-1,-2.024558074E0,-3.049503642E0
2.495146625E0,1.478562764E-1,-2.078938349E0,-3.312885624E0
2.505125625E0,2.555058555E-1,-2.112114281E0,-3.527564977E0
2.515105625E0,4.508697723E-1,-2.061082706E0,-3.709097049E0
2.525084625E0,6.507879393E-1,-1.933980026E0,-3.768548030E0
2.535063625E0,6.824534626E-1,-1.738942055E0,-3.639115233E0
2.545043625E0,6.933782541E-1,-1.491722946E0,-3.326893798E0
2.555022625E0,7.869843560E-1,-1.233712801E0,-2.980462643E0
2.565002625E0,7.505331791E-1,-1.009195508E0,-2.696734689E0
2.574981625E0,5.856261295E-1,-7.176398867E-1,-2.508339155E0
2.584961625E0,3.805400837E-1,-2.732895041E-1,-2.215297757E0
2.594940625E0,1.137542184E-1,3.067852789E-1,-1.851928387E0
2.604920625E0,-1.748406650E-1,7.989664704E-1,-1.479836141E0
