"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.106698708E0,-1.064341417E1,-2.210440475E1,5.777261903E0,2.520443869E1
1.116678708E0,-1.207516690E1,-2.117257141E1,6.117645868E0,2.512992294E1
1.126658708E0,-1.265315949E1,-2.013181380E1,6.154441227E0,2.456154553E1
1.136638708E0,-1.263468463E1,-1.943594953E1,5.852715544E0,2.390911268E1
1.146618708E0,-1.215131870E1,-1.853219336E1,5.356247174E0,2.279881840E1
1.156598708E0,-1.128149626E1,-1.776403996E1,4.573504095E0,2.153486042E1
1.166578708E0,-1.004914644E1,-1.721649967E1,3.599268505E0,2.025704665E1
1.176558708E0,-8.458656422E0,-1.675284353E1,2.574442513E0,1.894292451E1
1.186537708E0,-6.933645862E0,-1.617092746E1,1.751444279E0,1.768168253E1
1.196517708E0,-5.516090754E0,-1.558937860E1,1.228399583E0,1.658206705E1
1.206497708E0,-4.041473252E0,-1.475472131E1,1.064824017E0,1.533522602E1
1.216477708E0,-2.193026151E0,-1.346352160E1,1.154292702E0,1.368971034E1
1.226457708E0,5.349060288E-2,-1.215883939E1,1.339885666E0,1.223256025E1
1.236437708E0,2.468528680E0,-1.065679377E1,1.186439671E0,1.100311440E1
1.246417708E0,5.041927757E0,-8.593890241E0,7.631550519E-1,9.992917023E0
1.256397708E0,8.422173890E0,-6.457436340E0,6.861823051E-1,1.063495855E1
1.266377708E0,1.149656621E1,-4.647949968E0,7.898979505E-1,1.242571576E1
1.276357708E0,1.391278189E1,-2.823239200E0,1.145350336E0,1.424247194E1
1.286337708E0,1.548290548E1,-3.981486082E-1,2.627633464E0,1.570933932E1
1.296317708E0,1.598081694E1,2.097956418E0,4.653962075E0,1.677639098E1
1.306297708E0,1.532302857E1,4.560030064E0,6.173625941E0,1.713775761E1
1.316277708E0,1.406025101E1,6.592799968E0,7.041110669E0,1.705089175E1
1.326257708E0,1.277274909E1,7.773041151E0,6.690911568E0,1.638082982E1
1.336237708E0,1.202619063E1,8.886296632E0,5.499194639E0,1.593225252E1
1.346217708E0,1.150651583E1,9.833019319E0,4.517511451E0,1.579544507E1
1.356197708E0,1.148065125E1,1.018992401E1,3.543526706E0,1.575425295E1
1.366177708E0,1.256180727E1,1.048890384E1,2.862185749E0,1.661349491E1
1.376157708E0,1.403545648E1,1.100089656E1,1.909112695E0,1.793483970E1
1.386137708E0,1.491307092E1,1.114750848E1,5.820217596E-1,1.862808039E1
1.396117708E0,1.467780586E1,1.141725223E1,-6.753841057E-2,1.859559612E1
1.406097708E0,1.373260111E1,1.141164592E1,-2.520961247E-1,1.785703078E1
1.416077708E0,1.266760212E1,1.127711552E1,1.408385213E-1,1.696058116E1
1.426057708E0,1.137053532E1,1.112065573E1,1.194604723E0,1.594945572E1
1.436037708E0,1.031799908E1,1.046323456E1,2.108073270E0,1.484534794E1
1.446017708E0,9.739443988E0,9.591586615E0,2.676659444E0,1.392909935E1
1.455997708E0,9.206583717E0,8.663235880E0,2.750145788E0,1.293739315E1
1.465977708E0,8.996501445E0,7.427262545E0,2.382381652E0,1.190701514E1
1.475957708E0,9.294477893E0,6.238837014E0,2.205891341E0,1.140948567E1
1.485937708E0,9.440037310E0,5.228614735E0,2.042292094E0,1.098288093E1
1.495917708E0,8.760376258E0,4.158147424E0,1.426190569E0,9.801448961E0
1.505897708E0,7.680016043E0,3.142874905E0,7.073715913E-1,8.328306170E0
1.515877708E0,6.801770684E0,1.986633618E0,4.520084810E-1,7.100359796E0
1.525857708E0,6.010199772E0,7.399996394E-1,4.283505003E-1,6.070715355E0
1.535837708E0,5.280955501E0,-3.660544109E-1,4.756544749E-1,5.314953811E0
1.545817708E0,4.679809107E0,-1.601365841E0,4.617031646E-1,4.967711309E0
1.555797708E0,4.092845719E0,-2.774883896E0,4.049600297E-1,4.961386837E0
1.565777708E0,3.608417936E0,-3.910600287E0,3.874908882E-1,5.335131094E0
1.575757708E0,3.571135797E0,-4.830140437E0,5.951282935E-1,6.036343695E0
