"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.150008125E0,-1.115599922E0,-1.362069125E0,1.547281435E0,2.343901732E0
1.159987125E0,-1.114368791E0,-1.120933460E0,9.708962452E-1,1.854979553E0
1.169966125E0,-1.159272191E0,-9.553093225E-1,4.727953327E-1,1.574821686E0
1.179945125E0,-1.675954678E0,-1.310165146E0,-3.184569061E-1,2.150993164E0
1.189924125E0,-1.933205562E0,-1.521327399E0,-2.836805910E0,3.754888623E0
1.199903125E0,-1.603345708E0,-1.434398598E0,-5.691976755E0,6.084966407E0
1.209883125E0,-8.279493642E-1,-1.645374910E0,-8.673757945E0,8.867177433E0
1.219862125E0,1.930108877E-1,-1.951547985E0,-1.088238988E1,1.105767616E1
1.229841125E0,1.321985585E0,-2.151033933E0,-1.113570880E1,1.141834503E1
1.239820125E0,2.414440473E0,-1.948016267E0,-8.854809376E0,9.382533734E0
1.249799125E0,2.874886194E0,-1.595469509E0,-5.635452890E0,6.524478743E0
1.259778125E0,2.752080632E0,-1.318809085E0,-3.261967485E0,4.466949416E0
1.269757125E0,2.537219723E0,-1.096722479E0,-1.706006443E0,3.248190589E0
1.279736125E0,2.336362018E0,-1.041338237E0,-6.719085208E-1,2.644699201E0
1.289715125E0,2.129639263E0,-9.233291459E-1,2.503748506E-2,2.321320094E0
1.299695125E0,1.884266706E0,-5.005479723E-1,5.077210441E-1,2.014643877E0
1.309674125E0,1.656065374E0,6.235295355E-2,6.770935392E-1,1.790222353E0
1.319653125E0,1.544839930E0,5.366089207E-1,4.446003512E-1,1.694741578E0
1.329632125E0,1.539661051E0,5.335291922E-1,1.019052744E-2,1.629513240E0
1.339611125E0,1.907344789E0,-2.051326042E-1,-5.677716565E-1,2.000601955E0
1.349590125E0,2.580483271E0,-1.535158403E0,-1.224399649E0,3.242647026E0
1.359569125E0,3.489584095E0,-3.422460691E0,-1.935317284E0,5.256984623E0
1.369548125E0,4.447220317E0,-4.707126714E0,-2.481535811E0,6.934899454E0
1.379527125E0,5.319265873E0,-5.280069648E0,-2.556892680E0,7.919054558E0
1.389507125E0,6.007292536E0,-5.522763596E0,-2.211250899E0,8.454472893E0
1.399486125E0,6.341027048E0,-5.224643891E0,-1.949835043E0,8.444369988E0
1.409465125E0,6.269574072E0,-4.080591710E0,-1.880414268E0,7.713283709E0
1.419444125E0,5.883799342E0,-2.597507440E0,-1.640322915E0,6.637529575E0
1.429423125E0,5.332891055E0,-1.464239863E0,-1.270342684E0,5.674283736E0
1.439402125E0,4.418993761E0,-7.338793588E-1,-6.076483516E-1,4.520544358E0
1.449381125E0,3.389084784E0,-2.116586816E-1,1.691679887E-1,3.399898951E0
1.459360125E0,2.512597975E0,3.913061965E-1,8.831377244E-1,2.691876922E0
1.469340125E0,1.787398515E0,1.051349255E0,1.355694491E0,2.477506057E0
1.479319125E0,1.349805175E0,1.320777258E0,1.510732829E0,2.418416890E0
1.489298125E0,1.015020212E0,1.111643404E0,1.495887333E0,2.122191320E0
1.499277125E0,3.962256052E-1,1.146281140E0,1.330263196E0,1.800154258E0
1.509256125E0,-3.645608859E-1,1.586299320E0,1.411878632E0,2.154681286E0
1.519235125E0,-1.050914076E0,1.980175368E0,1.699925923E0,2.813407725E0
1.529214125E0,-1.624071603E0,2.073455999E0,1.808139174E0,3.194713700E0
1.539193125E0,-2.141629418E0,1.752911053E0,1.625124832E0,3.209408737E0
1.549173125E0,-2.448808214E0,9.565670586E-1,1.603629298E0,3.079498195E0
1.559152125E0,-2.593057416E0,-1.527538311E-1,2.446149924E0,3.568042874E0
1.569131125E0,-2.542603254E0,-1.270280703E0,3.491190033E0,4.501872080E0
1.579110125E0,-2.587026306E0,-2.119600471E0,3.720152965E0,5.002494312E0
1.589089125E0,-2.453294929E0,-2.787046105E0,4.183820794E0,5.593803575E0
1.599068125E0,-1.644625735E0,-3.211401933E0,4.455056756E0,5.732837594E0
1.609047125E0,-3.944888359E-1,-3.354068148E0,4.212792578E0,5.399353284E0
1.619026125E0,4.874019697E-1,-2.830441800E0,3.252013185E0,4.338726912E0
1.629006125E0,1.074979754E0,-1.820014869E0,3.107682853E0,3.758420986E0
1.638985125E0,1.067035434E0,-1.033431047E0,2.878930421E0,3.239565513E0
1.648964125E0,7.112807474E-1,-4.728690076E-1,2.338936547E0,2.490009954E0
1.658943125E0,-4.118193984E-1,5.607210839E-1,1.397910218E0,1.561459679E0
1.668922125E0,-1.833090120E0,1.879530169E0,1.171061640E0,2.874758844E0
1.678901125E0,-1.991145037E0,2.459664009E0,2.392068003E0,3.966937726E0
1.688880125E0,-1.354198481E0,2.338876321E0,3.819836297E0,4.679246233E0
1.698860125E0,-8.678077868E-1,1.872570813E0,4.339483030E0,4.805280925E0
1.708839125E0,-7.779827137E-1,1.631964321E0,4.262801474E0,4.630339194E0
1.718818125E0,-8.226868701E-1,1.626498343E0,4.247529716E0,4.622101172E0
1.728796708E0,-1.408228654E0,2.034129966E0,3.679786127E0,4.434142374E0
1.738775708E0,-2.143566746E0,2.678893080E0,3.156308298E0,4.661933998E0
1.748754708E0,-2.691476288E0,3.212618154E0,2.942520061E0,5.120877300E0
1.758733708E0,-2.991757417E0,3.609800802E0,2.821840546E0,5.472116441E0
1.768712708E0,-3.069918026E0,3.795379733E0,2.685095222E0,5.571269187E0
1.778692708E0,-3.022861096E0,3.780028453E0,2.548869131E0,5.470195440E0
1.788671708E0,-2.838167726E0,3.589989266E0,2.497521222E0,5.213523878E0
1.798650708E0,-2.576225329E0,3.308290882E0,2.530172074E0,4.897294787E0
1.808629708E0,-2.240023585E0,2.979156375E0,2.781284258E0,4.650658071E0
1.818608708E0,-1.874996822E0,2.616900315E0,3.164169295E0,4.513950340E0
1.828587708E0,-1.595212670E0,2.077473621E0,3.411913483E0,4.301366495E0
1.838566708E0,-1.284942304E0,1.181648024E0,3.452027429E0,3.868315156E0
1.848546708E0,-8.418137703E-1,1.556470335E-2,3.339099276E0,3.443613895E0
1.858525708E0,-1.087971682E-1,-1.052778314E0,2.219483778E0,2.458919935E0
1.868504708E0,1.012379755E0,-2.001522383E0,-2.496393878E0,3.356037398E0
1.878483708E0,2.072645722E0,-3.348275312E0,-9.240050840E0,1.004416982E1
1.888462708E0,3.515938081E0,-4.757515095E0,-1.298338918E1,1.426759143E1
1.898441708E0,4.827147832E0,-5.164754954E0,-1.153033972E1,1.352496891E1
1.908420708E0,5.134664598E0,-4.090224413E0,-8.372866659E0,1.063953065E1
1.918400708E0,4.737163568E0,-2.439790492E0,-5.286824352E0,7.506251264E0
1.928379708E0,4.043945163E0,-8.563668323E-1,-2.768301101E0,4.974972122E0
1.938358708E0,3.132762730E0,4.544280589E-1,-1.008558161E0,3.322333028E0
1.948337708E0,2.241304418E0,9.371215582E-2,-2.547281027E-1,2.257678867E0
1.958316708E0,7.565633395E-1,-2.934632751E0,1.403366840E0,3.339744894E0
1.968295708E0,-5.031441361E-1,-4.356558069E0,2.062852074E0,4.846453436E0
1.978274708E0,-1.239434594E0,-5.165049654E0,1.988509405E0,5.671693371E0
1.988254708E0,-1.706681796E0,-6.656670274E0,2.182379687E0,7.210187444E0
1.998233708E0,-2.068027737E0,-7.995216050E0,2.407049593E0,8.601982687E0
2.008212708E0,-2.223021344E0,-8.178056145E0,2.502244602E0,8.836495587E0
2.018191708E0,-2.000770431E0,-6.660186789E0,2.208112113E0,7.296364128E0
2.028170708E0,-1.179165588E0,-4.819587382E0,1.692317526E0,5.242403326E0
2.038149708E0,-2.773597509E-1,-2.767144521E0,1.230978059E0,3.041270165E0
2.048128708E0,2.875247698E-2,-5.299232143E-1,9.317994225E-1,1.072331796E0
2.058108708E0,3.243158162E-2,1.288587166E0,7.101595438E-1,1.471677706E0
2.068087708E0,-1.064288266E-2,2.951352280E0,6.071228331E-1,3.013169707E0
2.078066708E0,-1.321897584E-1,4.414361304E0,6.112831271E-1,4.458444450E0
2.088045708E0,-3.407678345E-1,5.599455092E0,6.217940819E-1,5.644169374E0
2.098024708E0,-5.095259334E-1,6.542883457E0,4.711182781E-1,6.579581525E0
2.108003708E0,-6.278519435E-1,7.360152297E0,2.583503980E-1,7.391399382E0
2.117982708E0,-7.790050994E-1,7.911443576E0,1.249749156E-1,7.950685954E0
2.127962708E0,-9.107963701E-1,8.076713372E0,7.166585047E-2,8.128221510E0
2.137941708E0,-1.014505949E0,7.610295013E0,1.127091748E-1,7.678444886E0
2.147920708E0,-8.405840278E-1,6.310194095E0,3.393630409E-1,6.374974376E0
2.157899708E0,-3.733339021E-1,4.504418950E0,7.806360340E-1,4.586781104E0
2.167878708E0,2.493490297E-1,2.402233826E0,1.289430919E0,2.737797361E0
2.177857708E0,9.347320935E-1,-4.316122234E-2,1.846965271E0,2.070475233E0
2.187837708E0,1.582384610E0,-2.486289890E0,2.451941006E0,3.833744014E0
2.197816708E0,2.165344701E0,-4.536611381E0,3.105601244E0,5.908834029E0
2.207795708E0,2.508682972E0,-5.889491606E0,3.607617452E0,7.348095353E0
2.217774708E0,2.529552561E0,-5.835743415E0,3.948989596E0,7.486591761E0
2.227753708E0,1.945419665E0,-4.218583075E0,3.795121286E0,5.998670387E0
2.237732708E0,1.123996816E0,-2.258342620E0,3.136582131E0,4.025124557E0
2.247711708E0,4.469558289E-1,-8.555172318E-1,2.399378046E0,2.586251004E0
2.257691708E0,-6.806451380E-3,1.595857179E-1,1.854348550E0,1.861215322E0
